C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
135	hip 37022  	HIP 37022                          	Star                   	07 36 31.6685364672 +02 04 12.695647440	     ~   	11.38    	10.17    	     ~   	     ~   	~              	   7	   2
136	hip 8284   	HD 10815C                          	Star                   	01 46 44.8106083872 +38 55 34.500778068	     ~   	10.41    	10.01    	     ~   	     ~   	~              	   9	   0
137	hip 30326  	V* V Mon                           	S Star                 	06 22 43.5821819376 -02 11 43.500924636	9.03     	8.26     	6.87     	6.41     	     ~   	M5-8Se         	 131	   0
138	hip 18623  	Wolf 1320                          	High Proper Motion Star	03 59 06.1017507768 +25 17 31.982118072	     ~   	14.97    	14.128   	11.650   	     ~   	K5V            	  23	   0
139	hip 20560  	CPD-64 330                         	Star                   	04 24 15.2567668320 -64 11 14.224912116	     ~   	11.04    	10.45    	     ~   	     ~   	~              	  14	   0
140	hip 74582  	V* X TrA                           	Carbon Star            	15 14 19.1755012584 -70 04 46.113298104	15.88    	9.19     	5.81     	     ~   	     ~   	C5,5           	 116	   0
141	hip 116016 	HIP 116016                         	High Proper Motion Star	23 30 25.7783910480 +30 49 37.027133004	     ~   	10.36    	9.68     	     ~   	     ~   	~              	  13	   0
142	hip 36369  	NGC 2392                           	Planetary Nebula       	07 29 10.7671398096 +20 54 42.474888072	     ~   	     ~   	9.68     	     ~   	     ~   	O6f            	 720	   1
143	hip 63152  	V* RY Dra                          	Carbon Star            	12 56 25.9112361600 +65 59 39.811665876	15.56    	9.44     	6.34     	4.34     	2.91     	C-N3III:       	 235	   0
144	hip 23680  	V* W Ori                           	Carbon Star            	05 05 23.7190712856 +01 10 39.454639032	16.36    	9.52     	6.10     	3.83     	2.35     	C-N5           	 285	   0
145	hip 80659  	HD 148173                          	Carbon Star            	16 28 05.2657351992 -43 39 40.128919956	     ~   	12.13    	9.26     	     ~   	     ~   	C5,5           	  29	   1
146	hip 57009  	V* DN Hya                          	Mira Variable          	11 41 16.6583070528 -33 42 33.191865144	     ~   	11.66    	10.49    	10.48    	     ~   	Me             	  18	   0
147	hip 113652 	V* RT Oct                          	Mira Variable          	23 01 06.1973522112 -87 03 10.958457672	     ~   	12.63    	11.26    	     ~   	     ~   	Me             	  20	   0
148	hip 88789  	HD 317084                          	Carbon Star            	18 07 28.7129729880 -28 30 23.631847956	     ~   	12.02    	10.23    	     ~   	     ~   	C7,4           	  27	   0
149	hip 86542  	CD-41 11905                        	High Proper Motion Star	17 41 07.9291647120 -41 43 03.187671852	     ~   	11.41    	10.50    	10.01    	     ~   	K5             	  15	   0
